('Ano','Mês','Países','Valor US$ FOB'),
(2026,'Janeiro','Cuba',386745),
(2026,'Janeiro','Curaçao',19712),
(2026,'Janeiro','Dinamarca',145466836),
(2026,'Janeiro','Dominica',636),
(2026,'Janeiro','Egito',128464788),
(2026,'Janeiro','El Salvador',1244402),
(2026,'Janeiro','Emirados Árabes Unidos',141595992),
(2026,'Janeiro','Equador',9648915),
(2026,'Janeiro','Eritreia',3040),
(2026,'Janeiro','Eslováquia',46464291),
(2026,'Janeiro','Eslovênia',10025489),
(2026,'Janeiro','Espanha',285254325),
(2026,'Janeiro','Estados Unidos',3067280831),
(2026,'Janeiro','Estônia',4300726),
(2026,'Janeiro','Etiópia',82316),
(2026,'Janeiro','Filipinas',29449012),
(2026,'Janeiro','Finlândia',65793398),
(2026,'Janeiro','França',412263374),
(2026,'Janeiro','Gabão',38528153),
(2026,'Janeiro','Gana',65964292),
(2026,'Janeiro','Geórgia',847586),
(2026,'Janeiro','Grécia',9165647),
(2026,'Janeiro','Guatemala',14988661),
(2026,'Janeiro','Guiana',60421806),
(2026,'Janeiro','Gâmbia',426),
(2026,'Janeiro','Haiti',101096),
(2026,'Janeiro','Honduras',2781000),
(2026,'Janeiro','Hong Kong',85028036),
(2026,'Janeiro','Hungria',36959742),
(2026,'Janeiro','Indonésia',189686250),
(2026,'Janeiro','Irlanda',147576168),
(2026,'Janeiro','Irã',23067357),
(2026,'Janeiro','Islândia',695734),
(2026,'Janeiro','Israel',100554968),
(2026,'Janeiro','Itália',509971551),
(2026,'Janeiro','Jamaica',4886),
(2026,'Janeiro','Japão',462887815),
(2026,'Janeiro','Jordânia',771643),
(2026,'Janeiro','Laos',687354),
(2026,'Janeiro','Lesoto',199),
(2026,'Janeiro','Letônia',3213579),
(2026,'Janeiro','Liechtenstein',680414),
(2026,'Janeiro','Lituânia',3669320),
(2026,'Janeiro','Luxemburgo',5614254),
(2026,'Janeiro','Líbano',441731),
(2026,'Janeiro','Líbia',719388),
(2026,'Janeiro','Macau',149998),
(2026,'Janeiro','Macedônia',930452),
(2026,'Janeiro','Madagascar',319756),
(2026,'Janeiro','Malavi',91769),
(2026,'Janeiro','Malta',1240911),
(2026,'Janeiro','Malásia',121993373),
